_step,step,loss,eval_loss,step_time_sec,moe_dropped_fraction,moe_router_entropy,moe_expert_fraction_min,moe_expert_fraction_max,grad_norm
650,650,3.4429445266723633,3.4448026418685913,0.2626705018337816,0.029693603515625,1.0177773237228394,0.1916656494140625,0.33492374420166016,0.07119303941726685
700,700,3.3152894973754883,3.283523201942444,0.24588854797184467,0.0020360946655273438,1.0204787254333496,0.18741703033447266,0.2907695770263672,0.043341014534235
750,750,3.171645164489746,3.2169437408447266,0.2531777680851519,0,1.0504846572875977,0.212158203125,0.28453636169433594,0.04237150028347969
800,800,3.117532253265381,3.139927327632904,0.2567579378373921,0,1.0725517272949219,0.2157297134399414,0.2733621597290039,0.04910383000969887
850,850,3.1117193698883057,3.142790973186493,0.2606668290682137,0,1.0753839015960693,0.21875762939453125,0.28619956970214844,0.05735534429550171
900,900,3.068981409072876,3.112029254436493,0.25533646903932095,0,1.08650803565979,0.22068023681640625,0.27835941314697266,0.03310144320130348
950,950,3.1043882369995117,3.111090838909149,0.2607084861956537,0.00033664703369140625,1.0693519115447998,0.20885848999023438,0.29361724853515625,0.03639687970280647
1000,1000,3.065230131149292,3.0765443444252014,0.28066342510282993,0.0018529891967773438,1.0629136562347412,0.1913309097290039,0.2888965606689453,0.03524773195385933
1000,1000,3.065230131149292,3.0765443444252014,0.28066342510282993,0.0018529891967773438,1.0629136562347412,0.1913309097290039,0.2888965606689453,0.03524773195385933
1050,1050,3.0894393920898438,3.079258382320404,0.25994235882535577,0,1.071547031402588,0.22568893432617188,0.2760896682739258,0.038780130445957184
1100,1100,3.0552282333374023,3.069436550140381,0.25605823704972863,0,1.0624403953552246,0.22675037384033203,0.2777099609375,0.045577339828014374
1150,1150,3.0350351333618164,3.049969732761383,0.25816351012326777,0,1.0564179420471191,0.2018899917602539,0.29321861267089844,0.03227762132883072
1200,1200,3.0236756801605225,3.0430619716644287,0.2636081229429692,0,1.07106614112854,0.21422290802001953,0.2824859619140625,0.04501904174685478
1250,1250,3.011920213699341,3.050250232219696,0.27551452489569783,0,1.0674296617507935,0.22138500213623047,0.28001976013183594,0.0509134903550148
1300,1300,3.0019171237945557,3.0321884155273438,0.25124795199371874,0,1.0697332620620728,0.22152328491210938,0.28334522247314453,0.0487152636051178
1350,1350,3.0962135791778564,3.1257839798927307,0.2639415168669075,0.13393211364746094,0.9695069789886475,0.1418895721435547,0.42575931549072266,0.07105167210102081
1400,1400,3.046360492706299,3.0526351928710938,0.2536691459827125,0.00742340087890625,1.0144377946853638,0.19739913940429688,0.3006124496459961,0.03474460169672966
1450,1450,3.017498731613159,3.032128632068634,0.25022905110381544,0,1.0268354415893555,0.2159719467163086,0.2835073471069336,429048224.0
1500,1500,2.984715461730957,2.9976847171783447,0.2580814170651138,0,1.039492130279541,0.22473430633544922,0.2775278091430664,0.041026998311281204
1550,1550,2.9752235412597656,2.97787082195282,0.2632629929576069,0,1.0473730564117432,0.21722126007080078,0.28500843048095703,0.04084175080060959
1600,1600,2.9761879444122314,2.953926146030426,0.25432806997559965,0,1.0501883029937744,0.22072696685791016,0.2816753387451172,0.037069931626319885
1650,1650,2.9241106510162354,2.984848201274872,0.2533960628788918,0,1.0596580505371094,0.21930980682373047,0.2801551818847656,0.03744853660464287
1700,1700,2.920449733734131,2.9577292799949646,0.2605998779181391,0,1.0616438388824463,0.21561241149902344,0.28363800048828125,0.03772615268826485
1750,1750,2.9828720092773438,2.9821659326553345,0.24912061402574182,0.005446434020996094,1.0244393348693848,0.19812393188476562,0.30737876892089844,0.03918404504656792
1800,1800,2.9725818634033203,2.9453883171081543,0.26196486805565655,0,1.0209546089172363,0.2190876007080078,0.2831840515136719,0.034157902002334595
1850,1850,2.942986488342285,2.946542263031006,0.25055912300013006,0,1.0329630374908447,0.2254648208618164,0.2818584442138672,0.04088444635272026
1900,1900,2.9602890014648438,2.9696252942085266,0.25346909603103995,0,1.0411577224731445,0.22467803955078125,0.2796363830566406,0.035107508301734924
1950,1950,2.930284023284912,2.9343730211257935,0.2522610330488533,0,1.0469645261764526,0.22023963928222656,0.2827157974243164,0.04854534566402435
2000,2000,2.877532958984375,2.95306259393692,0.25975571596063673,1.9073486328125e-06,1.0531940460205078,0.2217998504638672,0.28255748748779297,0.036519892513751984
2000,2000,2.877532958984375,2.95306259393692,0.25975571596063673,1.9073486328125e-06,1.0531940460205078,0.2217998504638672,0.28255748748779297,0.036519892513751984
2050,2050,2.879486560821533,2.8775410056114197,0.2552398710977286,0,1.05136239528656,0.22121810913085938,0.2856912612915039,0.03441103175282478
